Rank,School,district,DSE Rank,DSE conversion score（70%）,Class teacher ratio (15%),Teachers (10%),Teaching language,Student_gender,Class,Score（95）
1,St.Paul's Co-educational College,Central & Western,1,70,13.85,5.87,English,Co-ed,Aided,89.72
2,Diocesan Girls' School,Yau Tsim  Mong,2,69.84,12.878,6.11,English,Girls,Aided,88.82
3,Heep Yunn School,Kowloon City,10.5,68.51,11.63,5.75,English,Girls,Aided,85.88
4,Diocesan Boy' School,Kowloon City,33,64.98,14.791,5.53,English,Boys,Aided,85.29
5,Good Hope School,Wong Tai Sin,15,67.8,11.458,5.975,English,Girls,Aided,85.23
6,Paul's Convent School,Wan Chai,14,67.96,10.729,6.04,English,Girls,Aided,84.72
7,S.K.H. Tsang Shiu Tim Secondary School,Sha Tin,6.5,69.14,8.75,6.275,English,Co-ed,DSS,84.16
8,Maryknoll Convent School (Secondary Section) ,Kowloon City,9,68.74,9,6.36,English,Girls,DSS,84.1
9,Pui Ching Middle School,Kowloon City,6.5,69.14,9.166,5.775,English,Co-ed,DSS,84
10,Hong Kong Taoist Association Tang Hin Memorial Secondary School,North,6.5,69.14,8.303,6.34,English,Co-ed,DSS,83.78
11,S.K.H. Lam Woo Memorial Secondary School,Kwai Tsing,14.5,67.88,9.687,6.18,English,Co-ed,DSS,83.74
12,Holy Trinity College,Sham Shui Po,4.5,69.45,8.125,6.155,English,Girls,DSS,83.73
13,Po Leung Kuk No.1 W.H. Cheung Colleage,Wong Tai Sin,4.5,69.45,7.875,6.06,English,Co-ed,DSS,83.38
14,Baptist Lui Ming Choi Secondary School,Sha Tin,14,67.95,8.75,6.16,English,Co-ed,DSS,82.86
15,Hong Kong Chinese Women's Club College,Eastern,10,68.58,8.33,5.8,English,Co-ed,DSS,82.72
16,Shatin Tsung Tsin Secondary School,Sha Tin,13.5,68.03,9,5.54,English,Co-ed,DSS,82.57
17,Tsuen Wan Government Secondary School,Tsuen Wan,13.5,68.03,8.12,6.17,English,Co-ed,Gov't,82.33
18,HKUGA College,Southern,32,65.13,11.63,5.365,English,Co-ed,Aided,82.12
19,Queen Elizabeth School,Yau Tsim  Mong,15,67.8,8.28,5.925,English,Co-ed,Gov't,82
20,St. Stephen's Girls' College,Central & Western,24.5,66.31,9.12,6.42,English,Girls,DSS,81.85
21,Belilios Public School,Eastern,17.5,67.41,8.43,5.895,English,Girls,Gov't,81.74
22,La Salle College,Kowloon City,15.5,67.72,8.48,5.5,English,Boys,DSS,81.7
23,Po Leung Kuk Ngan Po Ling College,Kowloon City,41,63.72,12.81,5.165,English,Co-ed,Aided,81.69
24,St. Stephen's College,Southern,44,63.25,12.62,5.76,English,Co-ed,Aided,81.63
25,Ying Wa Girls' School,Central & Western,24,66.39,9.25,5.925,English,Girls,DSS,81.56
26,St. Paul's College,Central & Western,30.5,65.36,9.89,6.28,English,Boys,Aided,81.54
27,True Light Middle School of Hong Kong,Wan Chai,33,64.97,9.84,6.44,English,Girls,DSS,81.26
28,Cheung Chuk Shan College,Eastern,21.5,66.78,9.02,5.425,English,Co-ed,DSS,81.2
29,Carmel Pak U Secondary School,Tai Po,23.5,66.46,8.28,6.425,English,Co-ed,DSS,81.17
30,Wa Ying College,Kowloon City,30.5,65.36,8.75,6.74,English,Co-ed,DSS,80.85
31,Christian Alliance S. C. Chan Memorial College,Tuen Mun,30,65.44,9.06,6.145,English,Co-ed,DSS,80.65
32,Po Leung Kuk Tang Yuk Tien College,Tuen Mun,29,65.6,9.06,5.81,English,Co-ed,DSS,80.47
33,St. Mary's Canossian College,Yau Tsim  Mong,26.5,65.99,8.12,6.23,English,Girls,DSS,80.35
34,Daughters of Mary Help of Christians Siu Ming Catholic Secondary School,Kwai Tsing,35.5,64.58,9.21,6.52,English,Girls,DSS,80.32
35,Carmel Secondary School,Kowloon City,29,65.6,8.59,6.02,English,Co-ed,DSS,80.21
36,TWGHs Kap Yan Directors' College,North,30.5,65.36,8.22,6.595,English,Co-ed,DSS,80.18
37,Pui Kiu College,Sha Tin,76.5,58.15,16.4,5.6,English,Co-ed,Aided,80.15
38,t.Paul's School (Lam Tin),Kwun Tong,29,65.6,8.5,5.84,English,Girls,DSS,79.94
39,Wah Yan Colleage Hong Kong,Wan Chai,45,63.09,9.68,6.375,English,Boys,DSS,79.15
40,Munsang College,Eastern,34,64.82,8.37,5.825,English,Co-ed,DSS,79.02
41,Buddhist Sin Tak Colleage,Kwai Tsing,29,65.6,8.75,4.555,English,Co-ed,DSS,78.91
42,Kiangsu Chekiang Colleage (Shatin),Sha Tin,48,62.62,9.53,6.145,English,Co-ed,DSS,78.29
43,Sacred Heart Canossian College,Southern,42,63.56,8.33,6.21,English,Girls,DSS,78.11
44,Po Leung Kuk Lo Kit Sing (1983) College,Kwai Tsing,41,63.72,8.59,5.72,English,Co-ed,DSS,78.04
45,Po Leung Kuk Centenary Li Shiu Chung Memorial College,Tuen Mun,41,63.72,8.28,5.9,English,Co-ed,DSS,77.9
46,Shatin Pui Ying College,Sha Tin,45.5,63.01,8.9,5.835,English,Co-ed,DSS,77.75
47,St. Paul's Secondary School,Wan Chai,44.5,63.17,8.37,5.965,English,Girls,DSS,77.51
48,Tak Nga Secondary School,Sham Shui Po,44.5,63.17,8.75,5.575,English,Girls,DSS,77.49
49,Carmel Divine Grace Foundation Secondary School,Sai Kung,45.5,63.01,8.43,5.84,English,Co-ed,DSS,77.29
50,Marymount Secondary School,Wan Chai,53,61.83,8.9,6.165,English,Girls,DSS,76.9
51,Pope Paul VI College,Kwai Tsing,50.5,62.23,8.593,5.95,English,Girls,DSS,76.77
52,King's College,Central & Western,50.5,62.23,8.43,5.74,English,Boys,Gov't,76.4
53,Shun Tak Fraternal Association Leung Kau Kui College,Tuen Mun,54.5,61.6,8.59,6.08,English,Co-ed,DSS,76.28
54,G.T. (Ellen Yeung) College,Sai Kung,64,60.11,10.46,5.655,English,Co-ed,Aided,76.23
55,St. Joseph's College,Central & Western,47,62.78,8.12,5.28,English,Boys,DSS,76.18
56,Kowloon True Light School,Kowloon City,56.5,61.28,9.06,5.8,English,Girls,DSS,76.15
57,Stewards MKMCF Ma Ko Pan Memorial College,Tuen Mun,63.5,60.19,10.15,5.695,English,Co-ed,DSS,76.04
58,Sing Yin Secondary School,Kwun Tong,56,61.36,8.12,6.49,English,Boys,DSS,75.98
59,St. Rose of Lima's College,Sha Tin,52.5,61.91,8,5.86,English,Girls,DSS,75.77
60,True Light Girls' College,Yau Tsim  Mong,59.5,60.81,9.06,5.795,English,Girls,DSS,75.67
61,Queen's College,Wan Chai,58.5,60.97,8.9,5.76,English,Boys,Gov't,75.64
62,Elegantia College (Sponsored by Education Convergence),North,70,59.17,9.37,7.055,Chinese,Co-ed,DSS,75.6
63,CCC Ming Yin College,Sham Shui Po,56.5,61.28,8.12,6.15,English,Co-ed,DSS,75.56
64,Po On Commercial Association Wong Siu Ching Secondary School,Tsuen Wan,60,60.73,8.9,5.85,English,Co-ed,DSS,75.49
65,United Christian College (Kowloon East),Kwun Tong,61,60.58,8.9,5.915,Chinese,Co-ed,CAPUT,75.4
66,Holy Family Canossian College,Kowloon City,60.5,60.66,8.59,6,English,Girls,DSS,75.25
67,CNEC Christian College,Kwai Tsing,61.5,60.5,8.75,5.845,English,Co-ed,DSS,75.09
68,St. Margaret's Co-Educational English Secondary and Primary School,Sham Shui Po,90,56.03,13.54,5.44,English,Co-ed,Aided,75.01
69,Munsang College (Hong Kong Island),Eastern,66.5,59.71,8.47,6.6,English,Co-ed,DSS,74.79
70,Hoi Ping Chamber of Commerce Secondary School,Kowloon City,61,60.58,8,5.93,English,Co-ed,DSS,74.51
71,Shung Tak Catholic English College,Yuen Long,65.5,59.87,8.75,5.82,English,Co-ed,DSS,74.44
72,HKBU Affiliated School Wong Kam Fai Secondary & Primary School,Sha Tin,92,55.71,12.12,6.105,English,Co-ed,Aided,73.94
73,Ho Fung College (Sponsored by Sik Sik Yuen),Tsuen Wan,74,58.54,8.75,6.335,English,Co-ed,DSS,73.62
74,Bishop Hall Jubilee School,Kowloon City,71,59.013,8.12,6.135,English,Co-ed,DSS,73.27
75,Shun Tak Fraternal Association Tam Pak Yu College,Tuen Mun,64,60.11,8.59,4.515,Chinese,Co-ed,DSS,73.22
76,Tsuen Wan Public Ho Chuen Yiu Memorial College,Tsuen Wan,78,57.91,8.9,6.385,English,Co-ed,DSS,73.2
77,CCC Heep Woh College,Wong Tai Sin,78.5,57.83,8.88,6.315,English,Co-ed,DSS,73.04
78,S.K.H. Bishop Mok Sau Tseng Secondary School,Tai Po,75.5,58.3,8.75,5.955,English,Co-ed,DSS,73.01
79,"Wah Yan College, Kowloon",Yau Tsim  Mong,79.5,57.67,9,6.195,English,Boys,DSS,72.87
80,Methodist College,Yau Tsim  Mong,78,57.91,8.28,6.64,English,Co-ed,DSS,72.83
81,S.K.H. Lam Kau Mow Secondary School,Sha Tin,76.5,58.15,8.75,5.91,English,Co-ed,DSS,72.81
82,Christian & Missionary Alliance Sun Kei Secondary School,Sai Kung,79.5,57.67,9.21,5.885,English,Co-ed,DSS,72.78
83,The ELCHK Yuen Long Lutheran Secondary School,Yuen Long,78,57.91,9.375,5.3,English,Co-ed,DSS,72.58
84,Fukien Secondary School,Kwun Tong,103.5,53.91,12.75,5.915,English,Co-ed,Aided,72.57
85,Tin Ka Ping Secondary School,North,80.5,57.52,9.23,5.44,English,Co-ed,DSS,72.19
86,Our Lady of The Rosary College,Sham Shui Po,78.5,57.83,8.28,6.045,English,Girls,DSS,72.16
87,N.T. Heung Yee Kuk Yuen Long District Secondary School,Yuen Long,78.5,57.83,8.28,5.74,English,Co-ed,Gov't,71.85
88,HKMA David Li Kwok Po College,Yau Tsim  Mong,103.5,53.91,11.4,6.48,English,Co-ed,Aided,71.79
89,St. Clare's Girls' School,Central & Western,85.5,56.73,8.75,5.84,English,Co-ed,DSS,71.32
90,Catharine's School for Girls,Kwun Tong,82.5,57.2,8.12,5.91,English,Girls,DSS,71.24
91,Shun Tak Fraternal Association Lee Shau Kee College,Kwai Tsing,89,56.18,9.21,5.8,English,Co-ed,DSS,71.2
92,Ying Wa College,Sham Shui Po,100,54.46,11.12,5.505,English,Boys,Aided,71.09
93,TWGHs Wong Fut Nam College,Kowloon City,84.5,56.89,8.375,5.74,English,Co-ed,DSS,71
94,Shun Lee Catholic Secondary School,Kwun Tong,88.5,56.26,8.9,5.67,English,Co-ed,DSS,70.84
95,Tak Oi Secondary School,Wong Tai Sin,88,56.34,8.43,5.8,English,Girls,DSS,70.58
96,King Ling College,Sai Kung,94,55.4,8.43,6.665,English,Co-ed,DSS,70.5
97,Evangel College,Sai Kung,100.5,54.38,10.5,5.48,English,Co-ed,Aided,70.36
98,Sha Tin Methodist College,Sha Tin,92,55.71,8.75,5.705,English,Co-ed,DSS,70.17
99,Chiu Lut Sau Memorial Secondary School,Yuen Long,95.5,55.16,8.28,6.035,English,Co-ed,Gov't,69.48
100,S.K.H. Chan Young Secondary School,North,96,55.08,8.365,5.9,English,Co-ed,DSS,69.35
