District,All Grades,S1,S2,S3,S4,S5,S6,S7
All Districts,327394 ,61554 ,57870 ,54821 ,52206 ,49690 ,48824 ,2429
Hong Kong Island,58744 ,11042 ,10331 ,9776 ,9144 ,8630 ,8488 ,1333
Central & Western,10671 ,1967 ,1916 ,1754 ,1720 ,1596 ,1509 ,209
Wan Chai,11889 ,2248 ,2075 ,2034 ,1841 ,1809 ,1755 ,127
Eastern,20434 ,3898 ,3629 ,3384 ,3185 ,3088 ,3086 ,164
Southern,15750 ,2929 ,2711 ,2604 ,2398 ,2137 ,2138 ,833
Kowloon,105095 ,19123 ,18373 ,17644 ,17207 ,16365 ,15896 ,487
Yau Tsim Mong,12724 ,2205 ,2123 ,2059 ,2185 ,2063 ,2089 ,-
Sham Shui Po,20523 ,3884 ,3708 ,3550 ,3254 ,3028 ,2993 ,106
Kowloon City,30271 ,5557 ,5314 ,5072 ,4959 ,4649 ,4393 ,327
Wong Tai Sin,16184 ,2994 ,2897 ,2702 ,2588 ,2561 ,2442 ,-
Kwun Tong,25393 ,4483 ,4331 ,4261 ,4221 ,4064 ,3979 ,54
New Territories,163555 ,31389 ,29166 ,27401 ,25855 ,24695 ,24440 ,609
Sai Kung,17736 ,3488 ,3295 ,2939 ,2779 ,2644 ,2570 ,21
Sha Tin,32147 ,6048 ,5600 ,5412 ,5093 ,4923 ,4690 ,381
Tai Po,13064 ,2632 ,2449 ,2256 ,2030 ,1875 ,1822 ,-
North,16128 ,3334 ,3030 ,2584 ,2490 ,2357 ,2314 ,19
Yuen Long,27258 ,5230 ,4839 ,4565 ,4233 ,4147 ,4244 ,-
Tuen Mun,21442 ,4220 ,3855 ,3611 ,3330 ,3157 ,3196 ,73
Tsuen Wan,9278 ,1635 ,1559 ,1576 ,1558 ,1468 ,1482 ,-
Kwai Tsing,20401 ,3678 ,3493 ,3442 ,3374 ,3214 ,3200 ,-
Islands,6101 ,1124 ,1046 ,1016 ,968 ,910 ,922 ,115
